Time,level,is_pump_on,is_upper_sensor_active,is_lower_sensor_active,is_overflowing,is_empty
2026-02-11 00:36:11.641769,40.0,False,False,True,False,False
2026-02-11 00:36:12.142197,37.5,False,False,True,False,False
2026-02-11 00:36:12.642835,35.0,False,False,True,False,False
2026-02-11 00:36:13.143274,32.5,False,False,True,False,False
2026-02-11 00:36:13.643975,30.0,False,False,True,False,False
2026-02-11 00:36:14.144668,27.5,False,False,True,False,False
2026-02-11 00:36:14.645131,25.0,False,False,True,False,False
2026-02-11 00:36:15.145591,22.5,False,False,False,False,False
2026-02-11 00:36:15.646067,25.0,True,False,True,False,False
2026-02-11 00:36:16.146758,27.5,True,False,True,False,False
2026-02-11 00:36:16.647378,30.0,True,False,True,False,False
2026-02-11 00:36:17.147979,32.5,True,False,True,False,False
2026-02-11 00:36:17.648574,35.0,True,False,True,False,False
2026-02-11 00:36:18.149020,37.5,True,False,True,False,False
2026-02-11 00:36:18.649656,40.0,True,False,True,False,False
2026-02-11 00:36:19.150219,42.5,True,False,True,False,False
2026-02-11 00:36:19.650892,45.0,True,False,True,False,False
2026-02-11 00:36:20.151394,47.5,True,False,True,False,False
2026-02-11 00:36:20.651996,50.0,True,False,True,False,False
2026-02-11 00:36:21.152579,52.5,True,False,True,False,False
2026-02-11 00:36:21.653242,55.0,True,False,True,False,False
2026-02-11 00:36:22.153971,57.5,True,False,True,False,False
2026-02-11 00:36:22.654659,60.0,True,False,True,False,False
2026-02-11 00:36:23.155139,62.5,True,False,True,False,False
2026-02-11 00:36:23.655812,65.0,True,False,True,False,False
2026-02-11 00:36:24.156530,67.5,True,False,True,False,False
2026-02-11 00:36:24.656961,70.0,True,False,True,False,False
2026-02-11 00:36:25.157702,72.5,True,False,True,False,False
2026-02-11 00:36:25.658143,75.0,True,True,True,False,False
2026-02-11 00:36:26.158846,72.5,False,False,True,False,False
2026-02-11 00:36:26.659513,70.0,False,False,True,False,False
2026-02-11 00:36:27.160222,67.5,False,False,True,False,False
2026-02-11 00:36:27.660846,65.0,False,False,True,False,False
2026-02-11 00:36:28.161283,62.5,False,False,True,False,False
2026-02-11 00:36:28.662030,60.0,False,False,True,False,False
2026-02-11 00:36:29.162690,57.5,False,False,True,False,False
2026-02-11 00:36:29.663262,55.0,False,False,True,False,False
2026-02-11 00:36:30.163737,52.5,False,False,True,False,False
2026-02-11 00:36:30.664354,50.0,False,False,True,False,False
2026-02-11 00:36:31.165014,47.5,False,False,True,False,False
2026-02-11 00:36:31.665720,45.0,False,False,True,False,False
2026-02-11 00:36:32.166180,42.5,False,False,True,False,False
2026-02-11 00:36:32.666640,40.0,False,False,True,False,False
2026-02-11 00:36:33.167095,37.5,False,False,True,False,False
2026-02-11 00:36:33.667770,35.0,False,False,True,False,False
2026-02-11 00:36:34.168439,32.5,False,False,True,False,False
2026-02-11 00:36:34.668897,30.0,False,False,True,False,False
2026-02-11 00:36:35.169543,27.5,False,False,True,False,False
2026-02-11 00:36:35.670195,25.0,False,False,True,False,False
2026-02-11 00:36:36.170728,22.5,False,False,False,False,False
2026-02-11 00:36:36.671365,25.0,True,False,True,False,False
2026-02-11 00:36:37.171866,27.5,True,False,True,False,False
2026-02-11 00:36:37.672603,30.0,True,False,True,False,False
2026-02-11 00:36:38.173319,32.5,True,False,True,False,False
2026-02-11 00:36:38.674047,35.0,True,False,True,False,False
2026-02-11 00:36:39.174530,37.5,True,False,True,False,False
2026-02-11 00:36:39.675256,40.0,True,False,True,False,False
2026-02-11 00:36:40.175775,42.5,True,False,True,False,False
2026-02-11 00:36:40.676325,45.0,True,False,True,False,False
